LSOA21CD,AHAH_Index_Score,AHAH_Index_Rank,AHAH_Index_Percentile
E01000428,18.4775,17870,42
E01000429,22.0291,25433,60
E01000430,29.7576,35793,84
E01000431,20.3766,22053,52
E01000433,19.7217,20667,49
E01000434,22.8597,26904,64
E01000435,23.017,27205,64
E01000436,29.7,35752,84
E01000437,27.7615,33908,80
E01000438,31.7989,37297,88
E01000439,36.804,39896,94
E01000440,28.9104,35060,83
E01000441,37.1109,40004,94
E01000442,31.1117,36824,87
E01000443,19.5529,20283,48
E01000444,16.157,12251,29
E01000445,18.2589,17357,41
E01000446,18.3729,17626,42
E01000447,27.9925,34134,81
E01000448,16.1408,12212,29
E01000449,17.3086,15069,36
E01000450,23.114,27401,65
E01000451,33.2107,38215,90
E01000452,30.2355,36159,85
E01000453,27.6387,33791,80
E01000454,30.8529,36624,86
E01000455,25.7284,31462,74
E01000456,26.2828,32178,76
E01000457,32.8673,38005,90
E01000458,19.1343,19366,46
E01000459,26.0729,31899,75
E01000460,17.0015,14288,34
E01000461,18.1325,17057,40
E01000462,28.9889,35130,83
E01000463,19.7781,20803,49
E01000464,23.761,28550,67
E01000465,17.2995,15041,36
E01000466,22.472,26251,62
E01000467,23.0135,27196,64
E01000468,24.0201,28947,68
E01000469,23.3793,27883,66
E01000470,21.5617,24511,58
E01000471,24.39,29506,70
E01000472,29.513,35590,84
E01000473,28.344,34509,81
E01000474,26.7419,32722,77
E01000475,22.7025,26652,63
E01000476,24.4675,29629,70
E01000477,24.6509,29914,71
E01000478,24.2,29209,69
E01000479,23.5805,28223,67
E01000480,22.429,26170,62
E01000481,25.6601,31369,74
E01000483,27.2195,33336,79
E01000484,23.9559,28840,68
E01000485,27.7124,33862,80
E01000486,26.8898,32924,78
E01000487,33.2459,38232,90
E01000488,33.5101,38375,90
E01000489,26.6037,32561,77
E01000490,29.981,35971,85
E01000491,25.5168,31171,74
E01000492,29.5229,35600,84
E01000493,30.5879,36405,86
E01000494,28.6757,34820,82
E01000495,26.8175,32832,77
E01000497,33.4336,38341,90
E01000498,32.6711,37892,89
E01000499,39.2517,40679,96
E01000501,28.568,34713,82
E01000502,28.0643,34210,81
E01000503,30.3768,36257,86
E01000504,34.9664,39094,92
E01000505,38.2924,40381,95
E01000506,38.5839,40480,95
E01000507,36.0013,39571,93
E01000508,43.5783,41620,98
E01000509,35.5701,39373,93
E01000510,43.3012,41572,98
E01000511,32.0989,37506,88
E01000512,34.4009,38841,92
E01000513,33.9688,38606,91
E01000514,27.2808,33409,79
E01000515,28.1157,34262,81
E01000516,34.0508,38655,91
E01000517,34.008,38628,91
E01000518,33.7883,38501,91
E01000519,26.3345,32238,76
E01000520,26.4653,32393,76
E01000521,40.4023,41004,97
E01000522,32.4985,37790,89
E01000523,39.48,40740,96
E01000524,42.4106,41416,98
E01000525,43.7789,41662,98
E01000526,40.0675,40922,96
E01000527,38.3662,40405,95
E01000528,38.8773,40575,96
E01000530,32.5917,37845,89
E01000531,41.1683,41185,97
E01000532,37.1444,40014,94
E01000533,36.2903,39689,94
E01000534,31.1056,36819,87
E01000535,35.8286,39475,93
E01000536,26.7202,32691,77
E01000538,25.3426,30923,73
E01000539,26.5555,32501,77
E01000540,24.8585,30228,71
E01000541,32.0249,37448,88
E01000543,39.4248,40728,96
E01000544,40.2382,40965,97
E01000545,52.0749,42414,100
E01000546,45.9932,41949,99
E01000547,48.4441,42191,99
E01000548,52.4485,42433,100
E01000549,37.0441,39980,94
E01000550,36.9985,39958,94
E01000551,36.5162,39785,94
E01000552,34.9002,39065,92
E01000553,41.1026,41175,97
E01000554,32.3,37651,89
E01000555,31.1885,36887,87
E01000556,48.0949,42153,99
E01000557,34.6195,38927,92
E01000558,29.1041,35244,83
E01000559,30.4531,36317,86
E01000560,26.8783,32910,78
E01000561,29.9644,35958,85
E01000562,19.6218,20451,48
E01000563,23.7807,28582,68
E01000564,32.0109,37437,88
E01000565,27.6743,33825,80
E01000566,29.6492,35704,84
E01000567,22.2095,25776,61
E01000568,28.1779,34330,81
E01000569,24.8238,30169,71
E01000570,30.3666,36247,85
E01000571,29.5718,35647,84
E01000572,25.2132,30752,73
E01000573,35.1512,39187,92
E01000574,31.1494,36855,87
E01000575,32.9448,38055,90
E01000576,26.2507,32136,76
E01000577,42.6826,41470,98
E01000578,27.7953,33941,80
E01000579,31.6151,37186,88
E01000580,31.5246,37119,88
E01000581,30.1483,36096,85
E01000582,30.4383,36309,86
E01000583,40.4661,41019,97
E01000584,34.6833,38965,92
E01000585,38.1903,40354,95
E01000586,37.793,40223,95
E01000587,36.3506,39713,94
E01000589,34.8192,39023,92
E01000590,21.4796,24342,58
E01000591,40.2528,40972,97
E01000592,34.9886,39112,92
E01000593,31.5126,37113,88
E01000594,37.4844,40122,95
E01000595,30.5143,36364,86
E01000596,30.5693,36394,86
E01000599,33.4373,38342,90
E01000601,44.7145,41776,98
E01000602,34.9143,39075,92
E01000603,31.4673,37061,87
E01000604,31.9671,37405,88
E01000605,27.7058,33857,80
E01000606,24.5149,29706,70
E01000607,31.2875,36961,87
E01000608,31.7223,37248,88
E01000609,25.1001,30582,72
E01000610,23.2868,27723,66
E01000611,33.3819,38316,90
E01000612,28.7093,34858,82
E01000613,25.9716,31766,75
E01000615,47.0144,42053,99
E01000616,32.3241,37669,89
E01000617,35.0666,39147,92
E01000618,29.9004,35904,85
E01000619,31.2608,36940,87
E01000620,33.2379,38227,90
E01000621,34.5755,38914,92
E01000622,26.3529,32263,76
E01000623,33.3563,38297,90
E01000624,28.0655,34211,81
E01000625,25.2313,30770,73
E01000626,33.2726,38251,90
E01000627,35.0146,39128,92
E01000628,34.1018,38695,91
E01000629,26.8185,32835,77
E01000630,44.3609,41741,98
E01000631,29.7065,35759,84
E01000632,31.9049,37368,88
E01000633,37.1831,40033,94
E01000634,33.152,38179,90
E01000636,45.449,41883,99
E01000637,45.4388,41882,99
E01000638,54.8102,42507,100
E01000639,48.8075,42217,99
E01000640,52.6146,42440,100
E01000641,47.0442,42056,99
E01000642,52.885,42450,100
E01000643,29.2587,35383,83
E01000644,46.889,42038,99
E01000645,21.1179,23622,56
E01000646,21.9135,25229,60
E01000647,26.4908,32433,77
E01000648,25.5864,31260,74
E01000649,20.1391,21552,51
E01000650,18.922,18897,45
E01000651,20.5511,22433,53
E01000652,20.5357,22401,53
E01000653,21.0488,23482,56
E01000654,20.2771,21827,52
E01000655,21.9557,25302,60
E01000656,22.8478,26882,64
E01000657,35.4509,39322,93
E01000658,25.8709,31655,75
E01000659,21.17,23740,56
E01000661,17.1801,14747,35
E01000662,20.2885,21847,52
E01000663,19.9871,21240,50
E01000664,24.3241,29409,69
E01000665,22.1266,25618,61
E01000666,18.5929,18131,43
E01000667,17.2354,14890,35
E01000668,35.1759,39202,92
E01000669,32.7589,37950,89
E01000670,21.726,24834,59
E01000671,28.6814,34826,82
E01000672,18.7312,18451,44
E01000673,17.2063,14815,35
E01000674,18.4307,17763,42
E01000676,47.7981,42122,99
E01000677,29.9683,35961,85
E01000678,27.9905,34131,81
E01000679,32.7307,37930,89
E01000680,19.2804,19701,47
E01000681,19.7533,20738,49
E01000682,24.3396,29432,70
E01000683,19.8865,21021,50
E01000684,18.9312,18912,45
E01000685,17.9845,16709,40
E01000686,21.0036,23385,55
E01000687,25.3611,30953,73
E01000688,18.4538,17818,42
E01000689,17.1035,14553,35
E01000690,18.4327,17772,42
E01000691,19.4203,20002,47
E01000692,31.8657,37335,88
E01000693,16.7624,13671,33
E01000694,20.2758,21824,52
E01000695,18.4915,17902,42
E01000696,15.8334,11451,27
E01000697,19.0915,19267,46
E01000698,17.2532,14938,36
E01000699,24.7752,30094,71
E01000700,24.9953,30410,72
E01000701,22.5413,26376,62
E01000702,25.2941,30849,73
E01000703,25.6012,31280,74
E01000704,23.3581,27850,66
E01000705,23.9367,28810,68
E01000706,19.2239,19586,46
E01000707,22.7162,26677,63
E01000708,23.3526,27839,66
E01000709,22.3817,26098,62
E01000710,18.8694,18781,45
E01000711,18.4828,17883,42
E01000712,16.6651,13475,32
E01000713,15.3846,10424,25
E01000714,32.2825,37635,89
E01000715,18.2,17213,41
E01000716,14.4723,8332,20
E01000717,14.7172,8878,21
E01000718,18.7529,18508,44
E01000719,13.5544,6454,16
E01000720,16.2135,12405,30
E01000721,14.2747,7917,19
E01000722,17.9743,16692,40
E01000723,20.3334,21948,52
E01000724,12.7198,4941,12
E01000725,18.7681,18540,44
E01000726,15.68,11101,27
E01000727,27.0632,33133,78
E01000728,14.8032,9064,22
E01000729,13.1006,5632,14
E01000730,14.4787,8347,20
E01000731,14.0721,7479,18
E01000732,13.077,5586,14
E01000733,11.8432,3591,9
E01000734,12.869,5197,13
E01000735,13.2136,5810,14
E01000736,11.0621,2591,7
E01000737,11.1577,2696,7
E01000738,11.8086,3541,9
E01000739,11.6253,3291,8
E01000741,23.4778,28065,66
E01000742,22.3178,25983,61
E01000743,23.2147,27598,65
E01000744,23.7432,28522,67
E01000745,19.336,19821,47
E01000746,26.0175,31823,75
E01000747,21.6384,24666,58
E01000748,19.8989,21042,50
E01000749,23.2759,27695,65
E01000750,21.6665,24720,58
E01000751,22.9182,27011,64
E01000752,20.3561,21990,52
E01000753,20.5797,22486,53
E01000754,20.7955,22934,54
E01000755,20.953,23264,55
E01000756,20.7746,22890,54
E01000757,18.5841,18118,43
E01000758,18.3531,17585,42
E01000759,18.0541,16883,40
E01000760,19.0433,19157,45
E01000761,20.9388,23230,55
E01000762,16.1824,12321,29
E01000763,16.2363,12460,30
E01000764,14.8559,9166,22
E01000765,16.3129,12645,30
E01000766,16.9317,14120,34
E01000767,18.7725,18551,44
E01000768,20.7974,22940,54
E01000769,16.5538,13207,31
E01000770,17.7732,16176,38
E01000771,21.0071,23391,55
E01000772,15.5255,10728,26
E01000773,17.0989,14545,35
E01000774,20.9957,23372,55
E01000775,17.6342,15862,38
E01000777,18.4048,17695,42
E01000778,17.8591,16393,39
E01000779,25.1604,30678,72
E01000780,25.4068,31025,73
E01000781,21.5583,24506,58
E01000782,22.7408,26717,63
E01000783,21.7374,24854,59
E01000784,18.7618,18528,44
E01000785,22.5381,26370,62
E01000786,14.7546,8961,22
E01000787,15.2843,10190,24
E01000788,20.3752,22049,52
E01000789,21.889,25167,60
E01000790,38.063,40317,95
E01000791,15.4081,10472,25
E01000792,16.4792,13041,31
E01000793,15.6715,11077,26
E01000794,15.1593,9891,24
E01000795,18.7464,18491,44
E01000796,28.4443,34596,82
E01000797,21.131,23655,56
E01000798,31.3624,36991,87
E01000799,49.6668,42284,100
E01000800,24.7771,30099,71
E01000801,21.6776,24740,59
E01000802,27.3331,33453,79
E01000803,28.0349,34175,81
E01000804,31.1126,36825,87
E01000805,28.8858,35040,83
E01000806,33.0469,38111,90
E01000807,25.7083,31437,74
E01000808,15.5292,10737,26
E01000809,20.629,22591,53
E01000810,14.9728,9424,23
E01000811,17.5252,15599,37
E01000812,17.8089,16263,39
E01000813,21.1849,23764,56
E01000814,15.3452,10322,25
E01000815,13.7484,6833,17
E01000816,26.6461,32605,77
E01000818,19.3182,19789,47
E01000819,29.7595,35796,84
E01000820,25.0648,30529,72
E01000822,24.2272,29252,69
E01000823,30.8988,36664,86
E01000824,28.5892,34733,82
E01000825,29.0766,35214,83
E01000826,15.0994,9727,23
E01000827,15.8601,11538,28
E01000828,14.912,9286,22
E01000829,19.5236,20235,48
E01000830,14.8383,9129,22
E01000831,15.1944,9979,24
E01000832,18.3857,17653,42
E01000833,15.8043,11389,27
E01000834,18.6798,18324,43
E01000835,40.0566,40916,96
E01000836,20.728,22796,54
E01000837,19.2395,19624,47
E01000838,19.6426,20497,49
E01000839,19.8368,20925,50
E01000840,17.2123,14834,35
E01000841,24.9028,30286,72
E01000842,31.1428,36848,87
E01000843,31.2989,36965,87
E01000844,26.7242,32695,77
E01000845,29.8505,35873,85
E01000846,31.0919,36805,87
E01000847,28.1715,34322,81
E01000848,30.278,36190,85
E01000849,34.91,39073,92
E01000850,69.1264,42644,100
E01000851,66.0821,42636,100
E01000853,60.8211,42603,100
E01000855,63.503,42622,100
E01000856,39.2941,40696,96
E01000857,30.2916,36197,85
E01000858,40.5889,41051,97
E01000859,34.8843,39059,92
E01000860,32.3628,37695,89
E01000861,44.4374,41749,98
E01000862,34.6599,38950,92
E01000863,54.0086,42484,100
E01000866,36.8267,39903,94
E01000867,39.8106,40842,96
E01000868,37.8915,40260,95
E01000869,44.6016,41759,98
E01000870,33.147,38173,90
E01000871,31.9948,37427,88
E01000872,41.6688,41277,97
E01000873,38.1696,40350,95
E01000874,40.8242,41110,97
