area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020,chn2021,chn2022,chn2023
E07000226,0.725,0.714,0.699,0.688,0.677,0.662,0.647,0.634,0.623,0.611,0.597,0.578,0.555,0.538,0.522,0.489,0.450,0.425,0.403,0.384,0.354,0.301,0.258,0.229,0.184,0.123,0
E07000227,0.784,0.773,0.750,0.728,0.710,0.688,0.671,0.656,0.644,0.632,0.620,0.605,0.586,0.570,0.554,0.519,0.481,0.459,0.436,0.413,0.365,0.292,0.245,0.213,0.161,0.100,0
E07000228,0.709,0.696,0.681,0.669,0.655,0.636,0.619,0.602,0.586,0.569,0.553,0.532,0.508,0.487,0.466,0.427,0.389,0.370,0.353,0.337,0.300,0.252,0.225,0.201,0.158,0.104,0
E07000229,0.789,0.776,0.758,0.744,0.729,0.710,0.693,0.677,0.661,0.644,0.629,0.613,0.595,0.576,0.554,0.524,0.496,0.478,0.454,0.429,0.384,0.313,0.265,0.233,0.183,0.120,0
E07000234,0.644,0.631,0.614,0.600,0.582,0.556,0.535,0.516,0.498,0.478,0.461,0.444,0.424,0.408,0.381,0.343,0.314,0.299,0.285,0.272,0.237,0.187,0.159,0.137,0.103,0.066,0
E07000235,0.688,0.675,0.655,0.638,0.621,0.602,0.586,0.571,0.555,0.538,0.524,0.507,0.487,0.470,0.441,0.399,0.365,0.347,0.329,0.312,0.268,0.207,0.175,0.151,0.114,0.071,0
E07000236,0.646,0.633,0.614,0.599,0.580,0.556,0.537,0.518,0.499,0.478,0.459,0.442,0.423,0.407,0.382,0.344,0.313,0.297,0.283,0.268,0.236,0.191,0.163,0.142,0.107,0.067,0
E07000237,0.677,0.661,0.642,0.628,0.612,0.590,0.568,0.546,0.525,0.501,0.480,0.462,0.445,0.430,0.409,0.377,0.348,0.330,0.311,0.293,0.262,0.214,0.184,0.164,0.131,0.087,0
E07000238,0.741,0.729,0.693,0.651,0.623,0.596,0.575,0.558,0.541,0.523,0.508,0.493,0.475,0.458,0.432,0.392,0.359,0.339,0.320,0.301,0.259,0.204,0.175,0.152,0.132,0.105,0
E07000239,0.623,0.610,0.590,0.575,0.558,0.537,0.518,0.500,0.482,0.464,0.448,0.431,0.411,0.386,0.356,0.322,0.293,0.278,0.261,0.245,0.211,0.163,0.135,0.118,0.107,0.086,0
E07000240,0.688,0.676,0.660,0.648,0.633,0.611,0.590,0.568,0.545,0.522,0.503,0.485,0.462,0.443,0.411,0.363,0.326,0.307,0.291,0.275,0.245,0.201,0.171,0.151,0.119,0.076,0
E07000241,0.789,0.780,0.767,0.758,0.745,0.727,0.709,0.691,0.671,0.649,0.629,0.611,0.594,0.579,0.559,0.527,0.497,0.479,0.455,0.428,0.385,0.318,0.269,0.238,0.189,0.125,0
E07000242,0.691,0.678,0.659,0.646,0.629,0.607,0.589,0.572,0.554,0.533,0.514,0.494,0.469,0.440,0.408,0.374,0.346,0.330,0.313,0.296,0.262,0.213,0.182,0.159,0.121,0.077,0
E07000243,0.739,0.721,0.696,0.680,0.665,0.645,0.629,0.611,0.592,0.569,0.547,0.526,0.506,0.487,0.463,0.432,0.405,0.389,0.367,0.345,0.307,0.256,0.229,0.204,0.157,0.101,0
E07000244,0.719,0.707,0.690,0.677,0.664,0.646,0.630,0.613,0.595,0.577,0.563,0.547,0.525,0.507,0.489,0.452,0.413,0.393,0.371,0.348,0.311,0.259,0.226,0.202,0.161,0.106,0
E07000245,0.725,0.713,0.697,0.684,0.665,0.642,0.623,0.606,0.588,0.568,0.550,0.531,0.508,0.489,0.468,0.430,0.393,0.376,0.358,0.339,0.294,0.230,0.192,0.169,0.131,0.084,0
E07000246,0.731,0.717,0.699,0.686,0.669,0.647,0.629,0.611,0.594,0.576,0.560,0.542,0.518,0.495,0.469,0.434,0.406,0.389,0.366,0.340,0.295,0.238,0.205,0.179,0.135,0.085,0
E08000001,0.641,0.628,0.610,0.596,0.579,0.556,0.536,0.517,0.496,0.473,0.453,0.434,0.414,0.397,0.376,0.348,0.323,0.308,0.288,0.265,0.234,0.190,0.160,0.140,0.110,0.073,0
E08000002,0.656,0.631,0.607,0.588,0.569,0.545,0.525,0.507,0.488,0.468,0.451,0.431,0.407,0.389,0.372,0.334,0.295,0.274,0.254,0.234,0.203,0.160,0.132,0.116,0.090,0.057,0
E08000003,0.771,0.760,0.746,0.733,0.717,0.698,0.682,0.665,0.649,0.631,0.614,0.595,0.574,0.555,0.531,0.496,0.464,0.446,0.425,0.403,0.363,0.301,0.258,0.229,0.183,0.123,0
E08000004,0.648,0.631,0.607,0.591,0.569,0.539,0.514,0.491,0.470,0.449,0.429,0.408,0.384,0.365,0.347,0.313,0.280,0.262,0.243,0.225,0.196,0.154,0.125,0.108,0.083,0.053,0
E08000005,0.676,0.662,0.643,0.627,0.606,0.577,0.554,0.534,0.516,0.496,0.478,0.461,0.445,0.430,0.410,0.379,0.351,0.333,0.306,0.276,0.239,0.187,0.153,0.132,0.101,0.065,0
E08000006,0.690,0.678,0.660,0.644,0.632,0.617,0.602,0.589,0.569,0.546,0.530,0.513,0.493,0.471,0.444,0.411,0.383,0.367,0.349,0.330,0.298,0.249,0.215,0.192,0.156,0.106,0
E08000007,0.637,0.623,0.604,0.591,0.573,0.548,0.528,0.510,0.493,0.471,0.451,0.433,0.416,0.402,0.386,0.361,0.336,0.321,0.302,0.282,0.249,0.202,0.169,0.149,0.117,0.074,0
E08000008,0.649,0.634,0.615,0.601,0.582,0.555,0.534,0.515,0.495,0.474,0.453,0.433,0.413,0.395,0.374,0.344,0.316,0.301,0.283,0.264,0.233,0.187,0.155,0.135,0.104,0.067,0
E08000009,0.675,0.663,0.648,0.636,0.620,0.597,0.580,0.563,0.547,0.529,0.513,0.496,0.474,0.455,0.436,0.399,0.361,0.340,0.320,0.299,0.266,0.216,0.183,0.161,0.125,0.080,0
E08000010,0.625,0.611,0.587,0.571,0.553,0.529,0.510,0.494,0.479,0.463,0.447,0.428,0.405,0.387,0.368,0.335,0.304,0.289,0.274,0.258,0.233,0.192,0.161,0.141,0.108,0.068,0
E08000011,0.557,0.541,0.519,0.504,0.486,0.461,0.440,0.421,0.404,0.387,0.372,0.358,0.345,0.333,0.319,0.298,0.277,0.262,0.244,0.225,0.198,0.159,0.132,0.116,0.090,0.058,0
E08000012,0.644,0.633,0.621,0.611,0.592,0.562,0.538,0.519,0.501,0.484,0.468,0.451,0.433,0.416,0.398,0.369,0.340,0.323,0.305,0.286,0.254,0.208,0.178,0.157,0.123,0.080,0
E08000013,0.633,0.621,0.603,0.590,0.572,0.547,0.527,0.508,0.490,0.474,0.459,0.443,0.427,0.413,0.399,0.375,0.352,0.338,0.318,0.296,0.262,0.213,0.179,0.156,0.121,0.078,0
E08000014,0.647,0.634,0.616,0.603,0.586,0.562,0.541,0.521,0.503,0.485,0.468,0.450,0.431,0.414,0.394,0.367,0.341,0.324,0.305,0.282,0.246,0.194,0.159,0.138,0.105,0.066,0
E08000015,0.655,0.641,0.620,0.605,0.586,0.564,0.545,0.527,0.508,0.487,0.467,0.449,0.431,0.414,0.395,0.369,0.345,0.329,0.309,0.287,0.254,0.207,0.175,0.156,0.123,0.081,0
E08000016,0.629,0.617,0.602,0.590,0.571,0.544,0.523,0.505,0.485,0.463,0.445,0.426,0.406,0.388,0.368,0.336,0.304,0.287,0.271,0.255,0.230,0.193,0.168,0.149,0.117,0.077,0
E08000017,0.638,0.625,0.605,0.590,0.569,0.539,0.517,0.499,0.481,0.464,0.448,0.431,0.413,0.394,0.370,0.344,0.322,0.308,0.289,0.269,0.234,0.181,0.145,0.125,0.098,0.064,0
E08000018,0.615,0.601,0.582,0.567,0.548,0.524,0.504,0.485,0.467,0.450,0.436,0.418,0.399,0.383,0.359,0.323,0.293,0.275,0.256,0.236,0.207,0.165,0.139,0.122,0.095,0.064,0
E08000019,0.638,0.623,0.601,0.582,0.561,0.533,0.510,0.491,0.472,0.453,0.435,0.414,0.386,0.358,0.332,0.300,0.273,0.259,0.244,0.228,0.202,0.162,0.136,0.118,0.093,0.061,0
E08000021,0.687,0.675,0.659,0.646,0.629,0.606,0.587,0.572,0.557,0.542,0.529,0.512,0.486,0.459,0.437,0.413,0.390,0.377,0.361,0.342,0.311,0.262,0.225,0.199,0.159,0.107,0
E08000022,0.648,0.634,0.613,0.596,0.581,0.559,0.539,0.522,0.505,0.486,0.468,0.450,0.421,0.394,0.371,0.341,0.318,0.304,0.288,0.271,0.239,0.198,0.173,0.149,0.111,0.070,0
E08000023,0.616,0.604,0.587,0.575,0.559,0.538,0.525,0.513,0.501,0.489,0.478,0.463,0.438,0.415,0.396,0.372,0.350,0.336,0.318,0.299,0.271,0.226,0.193,0.169,0.132,0.086,0
E08000024,0.618,0.605,0.587,0.572,0.548,0.518,0.493,0.471,0.453,0.436,0.420,0.401,0.374,0.346,0.323,0.293,0.267,0.253,0.238,0.222,0.194,0.150,0.120,0.103,0.079,0.051,0
E08000025,0.674,0.660,0.641,0.628,0.609,0.585,0.564,0.544,0.524,0.503,0.483,0.464,0.444,0.427,0.407,0.381,0.357,0.340,0.318,0.299,0.267,0.217,0.185,0.160,0.121,0.079,0
E08000026,0.662,0.650,0.634,0.622,0.607,0.586,0.569,0.554,0.538,0.521,0.505,0.488,0.470,0.450,0.426,0.398,0.375,0.361,0.342,0.323,0.293,0.247,0.215,0.196,0.161,0.111,0
E08000027,0.581,0.567,0.549,0.535,0.518,0.497,0.478,0.460,0.443,0.425,0.410,0.394,0.375,0.351,0.322,0.288,0.261,0.246,0.230,0.216,0.193,0.157,0.132,0.116,0.091,0.060,0
E08000028,0.639,0.626,0.607,0.593,0.576,0.553,0.533,0.514,0.493,0.472,0.454,0.434,0.412,0.389,0.359,0.321,0.292,0.276,0.256,0.235,0.205,0.162,0.134,0.117,0.091,0.059,0
E08000029,0.626,0.612,0.594,0.580,0.561,0.537,0.515,0.494,0.475,0.456,0.438,0.420,0.397,0.374,0.351,0.319,0.292,0.277,0.260,0.242,0.214,0.172,0.143,0.125,0.098,0.064,0
E08000030,0.585,0.573,0.554,0.539,0.522,0.497,0.477,0.460,0.441,0.422,0.404,0.385,0.365,0.343,0.317,0.287,0.262,0.249,0.233,0.218,0.188,0.147,0.125,0.108,0.083,0.054,0
